gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Emerging Concept,subsaharian africa,2,2,1,0.6675545554815427,0.6095004917135456,0.72560861924954,1.0,Financial technology & Fintech adoption | Income inequality & Financial technology,0.1
Emerging Concept,regulatory frameworks,2,2,1,0.6627800880628127,0.6513187319769261,0.6742414441486992,1.0,Credit risk & Bank FinTech,0.1
Emerging Concept,entrepreneurial risk,2,2,2,0.6577767151021744,0.6405762276944335,0.6749772025099153,1.0,Financial technology & Artificial Intelligence | Income inequality & Financial technology,0.1
Emerging Concept,big data,2,2,1,0.6437220858856556,0.6194683099938627,0.6679758617774485,1.0,P2P lending & Credit risk | P2P lending & crowdfunding,0.1
Emerging Concept,payment facilitation,2,1,2,0.636234645675892,0.627208266440378,0.6452610249114062,1.0,Income inequality & Africa,0.1
Emerging Concept,npl determinants,2,2,1,0.6309805842771008,0.6246368910128269,0.6373242775413748,1.0,Credit risk & Financial technology | Sustainability & Financial technology,0.1
Emerging Concept,google trends,2,2,1,0.6295236733020526,0.6139094711688723,0.645137875435233,1.0,Financial technology & Artificial Intelligence | Financial technology & behavioral intention,0.1
Conceptual Combination,income inequality x developing countries,2,2,1,0.6294113424002291,0.6294113424002291,0.6294113424002291,10.5,Income inequality & Financial technology,0.1
Emerging Concept,invoice lending,2,2,1,0.6230402246373061,0.6139019458813051,0.6321785033933073,1.0,Credit scoring & Credit risk,0.1
Conceptual Combination,income inequality x financial development,2,2,1,0.6229925434675913,0.6229925434675913,0.6229925434675913,12.0,Income inequality & Africa | Income inequality & Financial technology,0.1
Emerging Concept,credit card,2,2,2,0.622726601262686,0.6202658906831161,0.625187311842256,1.0,Digital lending & Digital finance | Financial stability & Financial technology,0.1
Conceptual Combination,financial technology x emerging economies,2,2,1,0.6153287931108798,0.6153287931108798,0.6153287931108798,10.5,Financial technology & Financial innovation | Financial technology & Fintech adoption,0.1
Emerging Concept,financial technology,2,2,2,0.6101966143336777,0.5203932286673554,0.7,1.0,Alternative data Sources & credit scoring | Credit risk & Bank credit risk,0.1
Emerging Concept,small businesses,2,2,1,0.5617515742070911,0.5480246315129261,0.5754785169012562,1.0,Credit scoring & Credit risk,0.1
Conceptual Combination,financial stability x financial innovation,2,2,2,0.5560126639406144,0.5289721569233252,0.5830531709579037,5.0,Financial technology & Financial innovation | Financial technology & Inclusive finance,0.1
Emerging Concept,financial stability,2,2,1,0.5321397230146423,0.5267326183151155,0.5375468277141691,1.0,Sub-Saharan Africa & Banks’ risk-taking,0.1
Emerging Concept,inclusive finance,2,2,1,0.5249999999999999,0.44999999999999996,0.6,1.0,Alternative data & credit invisible | Bank performance & Inclusive finance,0.1
Conceptual Combination,financial technology x p2p lending,2,2,2,0.5139060561053003,0.46831110622751343,0.5595010059830872,5.5,Bank lending & Financial technology | P2P lending & Credit risk,0.1
Emerging Concept,credit invisible,2,2,1,0.5030453530713351,0.499865127754184,0.5062255783884863,1.0,Alternative data & credit invisible,0.1
Emerging Concept,credit scoring,2,2,2,0.5,0.3,0.7,1.0,Alternative data Sources & credit scoring | Credit risk & Bank credit risk,0.1
Conceptual Combination,alternative credit x financial technology,2,2,1,0.4843748566261053,0.4693748566261053,0.4993748566261053,4.5,Alternative credit & bank lending | Bank lending & Financial technology,0.1
Cross-Cluster Concept,risk management,2,2,1,0.48278823207512167,0.48278823207512167,0.48278823207512167,2.0,Financial stability & Financial technology | Income inequality & Financial technology,0.1
Cross-Cluster Concept,financial services,2,2,1,0.43320337580998414,0.43320337580998414,0.43320337580998414,1.0,Credit risk & Bank FinTech | Financial technology & Fintech adoption,0.1
Conceptual Combination,financial literacy x digital marketing,2,2,1,0.42907409295631543,0.42907409295631543,0.42907409295631543,4.0,Financial technology & Financial innovation | Financial technology & Systematic Literature Review,0.1
Conceptual Combination,financial inclusion x bank efficiency,1,1,1,0.7433040823191408,0.7433040823191408,0.7433040823191408,34.0,Income inequality & Financial technology,0.05
Emerging Concept,individual business,1,1,1,0.7379279493203295,0.7379279493203295,0.7379279493203295,1.0,Financial technology & China,0.05
Conceptual Combination,financial inclusion x bank lending,1,1,1,0.7252763931170402,0.7252763931170402,0.7252763931170402,10.0,P2P lending & Credit risk,0.05
Emerging Concept,saudi arabia,1,1,1,0.709221212127912,0.709221212127912,0.709221212127912,1.0,Digital financial inclusion & India,0.05
Conceptual Combination,financial inclusion x banking sector,1,1,1,0.7078357774255936,0.7078357774255936,0.7078357774255936,13.0,Sustainability & Financial technology,0.05
Emerging Concept,loan officer,1,1,1,0.701828936226095,0.701828936226095,0.701828936226095,1.0,Credit risk & Bank FinTech,0.05
Emerging Concept,industrial structure,1,1,1,0.6963327278784941,0.6963327278784941,0.6963327278784941,1.0,Financial technology & China,0.05
Emerging Concept,financial services,1,1,1,0.6890915316855986,0.6890915316855986,0.6890915316855986,1.0,Financial technology & Systematic Literature Review,0.05
Conceptual Combination,income inequality x economic development,1,1,1,0.6877689603187154,0.6877689603187154,0.6877689603187154,12.0,Income inequality & Financial technology,0.05
Conceptual Combination,financial inclusion x financial constraints,1,1,1,0.6848435672688677,0.6848435672688677,0.6848435672688677,11.0,Bank lending & alternative credit,0.05
